sample,t_seconds,i_ideal,q_ideal,i_dac,q_dac,rf_ideal,rf_dac,rx_i,rx_q,rx_rf
8452,0.0031698169816981696,0.23340009865116182,-0.5657118158206453,0.234375,-0.56640625,-0.6106504876237513,-0.6116203254860422,0.3567289483421631,-0.9330435446096221,-0.9981322921042516
8453,0.00317019201920192,0.24401268530350745,-0.5631179572752824,0.2421875,-0.5625,-0.6102161691677674,-0.6090831660074189,0.3229007896159269,-0.9104121583109024,-0.9652541339725377
8454,0.0031705670567056705,0.25461381780334147,-0.5605208319872952,0.25390625,-0.55859375,-0.6089229079022926,-0.6068755538793597,0.38259991921171177,-0.9243765926499966,-0.9939447336777605
8455,0.003170942094209421,0.26520332365090826,-0.5579204780794109,0.265625,-0.55859375,-0.6067715184372657,-0.6075293767243712,0.3733232920277998,-0.9141716259682827,-0.9787749379766415
8456,0.003171317131713171,0.2757810306590806,-0.5553169337282333,0.27734375,-0.5546875,-0.6037636113330674,-0.6035093514863733,0.41165814735077516,-0.9090402347633343,-0.9792210581600836
8457,0.0031716921692169216,0.28634676695612,-0.5527102371635231,0.28515625,-0.55078125,-0.5999015914323501,-0.5977684609317441,0.3978946703439319,-0.8981489102647406,-0.9609234986064715
8458,0.003172067206720672,0.2969003609884401,-0.5501004266674765,0.296875,-0.55078125,-0.5951886555374313,-0.5958533054229328,0.442512269734939,-0.9149009744490367,-0.9804937607100469
8459,0.003172442244224422,0.3074416415233326,-0.5474875405740057,0.30859375,-0.546875,-0.5896287894354705,-0.5892084996585342,0.4572640540300266,-0.8758811003349515,-0.9377649506692028
8460,0.0031728172817281726,0.3179704376517119,-0.5448716172680172,0.31640625,-0.54296875,-0.5832267642741202,-0.5811279165705237,0.4365976249709308,-0.846720628205436,-0.898459635145621
8461,0.003173192319231923,0.3284865787908401,-0.5422526951846883,0.328125,-0.54296875,-0.5759881322909816,-0.57665859351985,0.4773319857151522,-0.8966017753376041,-0.9449235718734518
